city,state,energy_burden,household_income,avg_annual_energy_cost,risk_label
Susanville,California,5.0,60510.0,3040.0,1
Sutter Creek,California,3.0,91669.0,2888.0,1
Taft,California,3.0,74927.0,2149.0,1
Tehachapi,California,3.0,76971.0,2582.0,1
Temecula,California,2.0,136599.0,2691.0,0
Temple City,California,2.0,136098.0,2538.0,0
Thousand Oaks,California,2.0,174741.0,2810.0,0
Tiburon,California,1.0,350822.0,3188.0,0
Torrance,California,1.0,145637.0,1850.0,0
Tracy,California,2.0,134781.0,2972.0,0
Truckee,California,3.0,155556.0,3911.0,1
Tulare,California,4.0,82257.0,2954.0,1
Turlock,California,2.0,100443.0,2350.0,0
Tustin,California,1.0,149266.0,2083.0,0
Twentynine Palms,California,4.0,66351.0,2326.0,1
Ukiah,California,3.0,83151.0,2754.0,1
Union City,California,1.0,179930.0,2261.0,0
Upland,California,2.0,121257.0,2399.0,0
Vacaville,California,2.0,128605.0,2732.0,0
Vallejo,California,2.0,110429.0,2416.0,0
Victorville,California,4.0,87547.0,3216.0,1
Villa Park,California,1.0,228661.0,3147.0,0
Visalia,California,3.0,98701.0,2911.0,1
Vista,California,2.0,115809.0,2169.0,0
Walnut,California,2.0,162218.0,2622.0,0
Walnut Creek,California,1.0,182810.0,2623.0,0
Wasco,California,4.0,61255.0,2249.0,1
Waterford,California,3.0,93199.0,2816.0,1
Watsonville,California,2.0,126032.0,2375.0,0
Weed,California,3.0,88973.0,2396.0,1
West Covina,California,2.0,121180.0,2432.0,0
West Hollywood,California,1.0,128800.0,1714.0,0
Westlake Village,California,2.0,264413.0,4361.0,0
Westminster,California,2.0,109761.0,2035.0,0
Westmorland,California,4.0,64317.0,2482.0,1
West Sacramento,California,2.0,123761.0,2507.0,0
Wheatland,California,3.0,107700.0,2934.0,1
Whittier,California,2.0,117830.0,2235.0,0
Wildomar,California,2.0,128867.0,2725.0,0
Williams,California,3.0,101443.0,3256.0,1
Willits,California,3.0,79319.0,2512.0,1
Willows,California,3.0,86007.0,2200.0,1
Windsor,California,2.0,155118.0,2944.0,0
Winters,California,2.0,161839.0,2779.0,0
Woodlake,California,4.0,69683.0,2695.0,1
Woodland,California,2.0,111797.0,2439.0,0
Woodside,California,1.0,440280.0,5098.0,0
Yorba Linda,California,2.0,179213.0,2753.0,0
Yountville,California,2.0,115588.0,2294.0,0
Yreka,California,3.0,71212.0,2374.0,1
Yuba City,California,3.0,89680.0,2666.0,1
Yucaipa,California,2.0,123584.0,2698.0,0
Yucca Valley,California,3.0,83836.0,2590.0,1
