zcta,median_household_income,housing_age
5403,105616,37
5404,79522,52
5408,95018,58
5440,76429,42
5441,67917,45
5442,81563,37
5443,88594,47
5444,106088,32
5445,144375,44
5446,97475,45
5448,82500,43
5450,72875,47
5452,101349,40
5454,128212,37
5455,110147,41
5456,106691,46
5457,96875,43
5458,101728,42
5459,88646,88
5461,109712,43
5462,94334,49
5463,82500,37
5464,85694,42
5465,114677,42
5468,114709,41
5471,53816,47
5472,92537,45
5473,99919,56
5474,102143,46
5476,57361,61
5477,108971,43
5478,71203,51
5482,115963,40
5483,78505,34
5486,126513,42
5487,76750,40
5488,77154,51
5489,92352,47
5491,87917,54
5492,67857,52
5494,117143,44
5495,107054,34
5602,81320,60
5640,114375,61
5641,76855,58
5647,76406,49
5648,71719,53
5649,103281,56
5650,84583,58
5651,103393,48
5652,79063,34
5653,90556,35
5654,89896,59
5655,84375,47
5656,55133,46
5658,72292,48
5660,96125,45
5661,67052,47
5663,77524,68
5667,66667,61
5669,75750,60
5672,93618,44
5673,98068,48
5674,86905,49
5675,65682,45
5676,92773,42
5677,157139,41
5678,148205,83
5679,94082,40
5680,72917,44
5681,103472,64
5682,85417,48
5701,61610,70
5730,102813,37
5732,43462,53
5733,68831,56
5734,81250,49
5735,80313,51
5736,38854,64
5737,101528,52
5738,95000,51
5739,75000,52
5742,66250,45
5743,68409,69
5744,75504,53
5747,57917,51
5748,76250,54
5751,81250,43
5753,91659,50
5757,75417,46
5758,67000,47
5759,58150,56
5760,67784,44
5761,68125,52
5762,65739,49
5763,71833,50
5764,72686,57
5765,73833,88
5766,112917,53
5767,72715,58
5769,99792,61
5770,92188,44
5772,76719,49
5773,80726,52
5774,76667,50
5775,61563,88
5776,64375,88
5777,64044,69
5778,82857,55
5819,62411,76
5820,68229,51
5821,65682,43
5822,76100,50
5824,72500,49
5826,83438,48
5827,90729,38
5828,72121,52
5829,73456,50
5830,70446,52
5832,86850,42
5833,65250,69
5836,99929,45
5837,60781,48
5839,74018,60
5840,56250,44
5841,103875,57
5842,85536,47
5843,71818,88
5845,82262,38
5846,46278,56
5847,57404,42
5851,68488,44
5853,91250,52
5855,61240,52
5857,71683,42
5858,66500,48
5859,84813,36
5860,64850,53
5862,122917,53
5866,64609,39
5867,67969,48
5868,51136,33
5871,74572,48
5872,48839,46
5873,70288,46
5874,74583,49
5875,78750,52
5902,45625,78
5903,56397,51
5904,54722,88
5905,91950,55
5906,51106,49
5907,65625,53
6001,153664,47
6002,98162,56
6010,79314,59
6013,165120,45
6016,120399,48
6018,68917,65
6019,117418,50
6021,111250,66
6022,250001,53
6023,100317,51
6024,87943,67
6026,119375,50
6027,115938,55
6029,129331,45
6031,106875,77
6032,140912,45
6033,149962,50
6035,107957,51
6037,116042,55
6039,104859,69
6040,83422,73
6042,91892,50
6043,126364,57
6051,51022,72
6052,80506,82
6053,62645,67
6057,117906,49
6058,91548,88
6060,122394,42
6061,75704,88
6062,84310,55
6063,121705,46
6065,124207,75
6066,85356,58
6067,100027,47
6068,123552,50
6069,101067,73
6070,162424,54
6071,126500,48
6073,201477,43
6074,144961,46
6076,92016,55
6078,116054,44
6081,106944,65
6082,90404,63
6084,133611,44
6085,141023,46
6088,79375,52
6089,121094,36
6090,151118,38
6091,68500,86
6092,204458,56
6093,122041,52
6095,105322,56
6096,81205,65
6098,66269,70
6103,71677,58
6105,41937,79
6106,46304,79
6107,174844,74
6108,56663,62
6109,126806,66
6110,87539,70
6111,102884,59
6112,44460,74
6114,52110,83
6117,171707,66
6118,79740,67
6119,99688,88
6120,34830,57
6226,47162,73
6231,168313,41
6232,134632,49
6234,96207,48
6235,98059,46
6237,127000,42
6238,108213,60
6239,74267,62
6241,88389,48
6242,89250,54
6243,122083,88
6247,108854,43
6248,134435,40
6249,109135,49
6250,99000,54
6254,105000,53
6255,88750,63
6256,80333,35
6259,108476,46
6260,70502,65
6263,88011,88
6264,100227,88
6268,55219,49
6277,110000,56
6278,121875,44
6279,91114,50
6280,76577,60
6281,125778,41
6282,91780,41
6320,59170,81
6330,98698,66
6331,103198,51
6332,61840,88
6333,129083,45
6334,107969,57
6335,118116,55
6336,133750,88
6338,137500,34
6339,106403,54
6340,81792,50
6350,40950,55
6351,82976,49
6354,87711,49
6355,137425,60
6357,93026,57
6359,123938,49
6360,65539,68
6365,117045,56
6370,105700,50
6371,132045,60
6374,71882,58
6375,111833,68
6376,156000,79
6377,97308,39
6378,135714,57
6379,95066,57
6380,63452,88
6382,89635,58
6384,106518,43
6385,100484,55
6387,108787,88
6390,98125,56
6401,86178,72
6403,101516,41
6405,105225,54
6409,107909,75
6410,145179,53
6412,109191,57
6413,124824,58
6414,131090,48
6415,123256,42
6416,110596,50
6417,90253,52
6418,78542,60
6419,140655,39
6420,123425,38
6422,158857,50
6423,107549,47
6424,123680,49
6426,103705,59
6437,137615,52
6438,121429,53
6439,187083,46
6441,111250,56
6442,104358,49
6443,168462,50
6444,139830,77
6447,142105,49
6450,71250,63
6451,71255,69
6455,104180,63
6456,128542,67
6457,79463,54
6460,104360,65
6461,133221,51
6468,157250,48
6469,104888,53
6470,153238,51
6471,109388,50
6472,105729,49
6473,132829,61
6475,114333,59
6477,142325,62
6478,128953,40
6479,114346,50
6480,118929,65
6481,84674,70
6482,159828,48
6483,107708,53
